CustomerId,Exited
<built-in function id>,0.85
<built-in function id>,0.92
<built-in function id>,0.08
<built-in function id>,0.22
<built-in function id>,0.32
<built-in function id>,0.21
<built-in function id>,0.57
<built-in function id>,0.15
<built-in function id>,0.1
<built-in function id>,0.02
<built-in function id>,0.12
<built-in function id>,0.32
<built-in function id>,0.31
<built-in function id>,0.16
<built-in function id>,0.2
<built-in function id>,0.23
<built-in function id>,0.12
<built-in function id>,0.01
<built-in function id>,0.05
<built-in function id>,0.29
<built-in function id>,0.02
<built-in function id>,0.04
<built-in function id>,0.01
<built-in function id>,0.49
<built-in function id>,0.28
<built-in function id>,0.07
<built-in function id>,0.18
<built-in function id>,0.11
<built-in function id>,0.19
<built-in function id>,0.01
<built-in function id>,0.14
<built-in function id>,0.22
<built-in function id>,0.02
<built-in function id>,0.01
<built-in function id>,0.0
<built-in function id>,0.01
<built-in function id>,0.32
<built-in function id>,0.01
<built-in function id>,0.05
<built-in function id>,0.64
<built-in function id>,0.08
<built-in function id>,0.88
<built-in function id>,0.68
<built-in function id>,0.12
<built-in function id>,0.2
<built-in function id>,0.32
<built-in function id>,0.21
<built-in function id>,0.16
<built-in function id>,0.04
<built-in function id>,0.29
<built-in function id>,0.15
<built-in function id>,0.75
<built-in function id>,0.02
<built-in function id>,0.23
<built-in function id>,0.0
<built-in function id>,0.14
<built-in function id>,0.04
<built-in function id>,0.06
<built-in function id>,0.64
<built-in function id>,0.22
<built-in function id>,0.08
<built-in function id>,0.06
<built-in function id>,0.07
<built-in function id>,0.24
<built-in function id>,0.88
<built-in function id>,0.04
<built-in function id>,0.97
<built-in function id>,0.66
<built-in function id>,0.2
<built-in function id>,0.01
<built-in function id>,0.48
<built-in function id>,0.09
<built-in function id>,0.44
<built-in function id>,0.07
<built-in function id>,0.06
<built-in function id>,0.3
<built-in function id>,0.02
<built-in function id>,0.11
<built-in function id>,0.02
<built-in function id>,0.74
<built-in function id>,0.09
<built-in function id>,0.11
<built-in function id>,0.11
<built-in function id>,0.2
<built-in function id>,0.06
<built-in function id>,0.05
<built-in function id>,0.59
<built-in function id>,0.27
<built-in function id>,0.55
<built-in function id>,0.05
